#{"t_start": 1659809486.244296, "env_id": "Pusher-v1"}
r,l,t
-0.155442,1,5535.057697
-0.090246,1,5546.679282
-0.18808,1,5558.143535
-0.195937,1,5567.54015
-0.119548,1,5577.892342
-0.119888,1,5588.549953
-0.122229,1,5601.292835
-0.209006,1,5612.834515
-0.075142,1,5626.02814
-0.162574,1,5635.998436
-0.137133,1,5642.743924
-0.19903,1,5653.361413
-0.246043,1,5664.913825
-0.122359,1,5674.09586
-0.117891,1,5686.456669
-0.244237,1,5697.097298
-0.153979,1,5707.158921
-0.245575,1,5719.186391
-0.182028,1,5728.051802
-0.240967,1,5737.589853
-0.197795,1,5749.2896
-0.104434,1,5760.525701
-0.164406,1,5770.958797
-0.185508,1,5784.016613
-0.161667,1,5795.364825
-0.128147,1,5812.049263
-0.05887,1,5836.89943
-0.136164,1,5847.9614
-0.080904,1,5862.042224
-0.137417,1,5877.850665
-0.089337,1,5886.820515
-0.247935,1,5898.83824
-0.219307,1,5908.541161
-0.103811,1,5920.993397
-0.22282,1,5937.947638
-0.043882,1,5949.839363
-0.118181,1,5963.171211
-0.039673,1,5974.881601
-0.153935,1,5985.260194
-0.191482,1,5999.477026
-0.164946,1,6008.698018
-0.156721,1,6017.448069
-0.201532,1,6036.42281
-0.114624,1,6050.413722
-0.185369,1,6058.475864
-0.121375,1,6067.678907
-0.04945,1,6082.890058
-0.149978,1,6097.784408
-0.119144,1,6112.3008
-0.203947,1,6124.213117
-0.17753,1,6132.491208
-0.095159,1,6141.843948
-0.104124,1,6151.498999
-0.127619,1,6159.991938
-0.063648,1,6173.24431
-0.045392,1,6191.143449
-0.172831,1,6197.705008
-0.259049,1,6209.158573
-0.135602,1,6223.446863
-0.14705,1,6238.960949
-0.139655,1,6249.762995
-0.155516,1,6263.257594
-0.105929,1,6271.528234
-0.186768,1,6279.643134
-0.165032,1,6288.833053
-0.135981,1,6301.229728
-0.118156,1,6315.434368
-0.23902,1,6328.110683
-0.121286,1,6341.521865
-0.142648,1,6350.681302
-0.070379,1,6363.678527
-0.174895,1,6375.307259
-0.207417,1,6384.710005
-0.106954,1,6395.821865
-0.129269,1,6404.820409
-0.252494,1,6414.644945
-0.241303,1,6426.372611
-0.035048,1,6439.044731
-0.148253,1,6452.418676
-0.07566,1,6463.714372
-0.064719,1,6476.748775
-0.132829,1,6489.139893
-0.093214,1,6499.045591
-0.05825,1,6511.028119
-0.049267,1,6522.37373
-0.220581,1,6532.652251
-0.082055,1,6548.320179
-0.151148,1,6560.674965
-0.131026,1,6573.061708
-0.112509,1,6582.967602
-0.152894,1,6591.355551
-0.179279,1,6603.863215
-0.062688,1,6616.055023
-0.121052,1,6626.318071
-0.125074,1,6637.970503
-0.132618,1,6646.374063
-0.044756,1,6658.744909
-0.155238,1,6671.205085
-0.112792,1,6680.702312
-0.143254,1,6690.526479
-0.172986,1,6696.989213
-0.246001,1,6708.831439
-0.051062,1,6721.708906
-0.116705,1,6731.552534
-0.134912,1,6745.170401
-0.172942,1,6754.063164
-0.226028,1,6771.075118
-0.096122,1,6784.523527
-0.139148,1,6793.076004
-0.181393,1,6807.712082
-0.172923,1,6821.557889
-0.147302,1,6831.714253
-0.118976,1,6842.118439
-0.188684,1,6851.971276
-0.103038,1,6863.746504
-0.132435,1,6875.961411
-0.146942,1,6889.067387
-0.1765,1,6900.360847
-0.16242,1,6913.021889
-0.161287,1,6925.070364
-0.158278,1,6940.649154
-0.15509,1,6957.118641
-0.132086,1,6970.36719
-0.155507,1,6978.00625
-0.132335,1,6987.291396
-0.201113,1,6998.491702
-0.161542,1,7010.04154
-0.148529,1,7022.707255
-0.120181,1,7030.879152
-0.08331,1,7039.534951
-0.130968,1,7050.380088
-0.129928,1,7062.098068
-0.131939,1,7073.309667
-0.201805,1,7084.434041
-0.052152,1,7099.230948
-0.174992,1,7112.264132
-0.096057,1,7126.540157
-0.17957,1,7137.469378
-0.122498,1,7147.655324
-0.130701,1,7161.555041
-0.211086,1,7172.900314
-0.15034,1,7184.357918
-0.13486,1,7197.102056
-0.219854,1,7212.815858
-0.129478,1,7226.364182
-0.189928,1,7236.580055
-0.099586,1,7250.839822
-0.166774,1,7264.474494
-0.213481,1,7276.198826
-0.112464,1,7285.358872
-0.079748,1,7291.935049
-0.129909,1,7301.028003
-0.230876,1,7315.25868
-0.199154,1,7326.383688
-0.107657,1,7341.549385
-0.152187,1,7355.538946
-0.188669,1,7365.234198
-0.17276,1,7377.975333
-0.180281,1,7387.784604
-0.132624,1,7397.203023
-0.199984,1,7407.419553
-0.075098,1,7419.439072
-0.133607,1,7429.249205
-0.111219,1,7438.849173
-0.257776,1,7448.851832
-0.091955,1,7461.154661
-0.134212,1,7473.272484
-0.13621,1,7483.327995
-0.132253,1,7497.434377
-0.083699,1,7511.101348
-0.108932,1,7523.984106
-0.148988,1,7546.769329
-0.082172,1,7562.750217
-0.134668,1,7574.642883
-0.131888,1,7584.683545
-0.113759,1,7595.333228
-0.108183,1,7605.220493
-0.163855,1,7617.35149
-0.100488,1,7632.084935
