#{"t_start": 1660571251.3926332, "env_id": "Pusher-v1"}
r,l,t
-0.107711,1,7366.190027
-0.184109,1,7375.903389
-0.179507,1,7387.508482
-0.176966,1,7404.972592
-0.058169,1,7415.075242
-0.188353,1,7428.862139
-0.184677,1,7440.277258
-0.246121,1,7453.13478
-0.106742,1,7468.636697
-0.169748,1,7485.183786
-0.219975,1,7501.551464
-0.179063,1,7515.812353
-0.18958,1,7525.788558
-0.086021,1,7536.851519
-0.122491,1,7553.296389
-0.135124,1,7573.739676
-0.169204,1,7592.289358
-0.144732,1,7610.881017
-0.150473,1,7623.355104
-0.198879,1,7635.948017
-0.194707,1,7649.625206
-0.092544,1,7660.278733
-0.129245,1,7669.508607
-0.139223,1,7682.597556
-0.131492,1,7697.876982
-0.16212,1,7713.099189
-0.184843,1,7725.764684
-0.189944,1,7740.125299
-0.064101,1,7757.034404
-0.143493,1,7772.541957
-0.129191,1,7783.714274
-0.100176,1,7792.44031
-0.134899,1,7802.476769
-0.081038,1,7813.460528
-0.097739,1,7825.604068
-0.244982,1,7840.057066
-0.076909,1,7852.492669
-0.202382,1,7862.185306
-0.123061,1,7875.186412
-0.099986,1,7889.35393
-0.153562,1,7904.369672
-0.096969,1,7913.486463
-0.121832,1,7927.229257
-0.231901,1,7941.721798
-0.164036,1,7952.638303
-0.07873,1,7970.067272
-0.099402,1,7990.753565
-0.162959,1,8001.423058
-0.091825,1,8010.432951
-0.186784,1,8022.793805
-0.164103,1,8036.388966
-0.079033,1,8050.608263
-0.194745,1,8067.714517
-0.158629,1,8079.037565
-0.050389,1,8094.014843
-0.116846,1,8107.136151
-0.209045,1,8121.881525
-0.212112,1,8134.345599
-0.199382,1,8155.47895
-0.197804,1,8172.31497
-0.046,1,8188.082216
-0.108951,1,8204.225245
-0.201182,1,8217.460154
-0.156837,1,8235.24239
-0.22703,1,8249.872864
-0.102929,1,8265.621206
-0.126727,1,8281.503142
-0.123896,1,8292.474871
-0.094257,1,8308.16174
-0.156724,1,8319.955737
-0.093574,1,8337.583814
-0.088931,1,8361.403972
-0.144101,1,8376.583347
-0.133937,1,8385.156158
-0.144884,1,8400.011048
-0.108704,1,8416.979982
-0.1701,1,8430.497019
-0.140835,1,8443.406238
-0.246059,1,8458.990601
-0.094452,1,8472.984955
-0.07453,1,8482.824813
-0.102851,1,8492.563929
-0.201773,1,8507.74895
-0.091526,1,8519.401252
-0.146844,1,8537.82975
-0.169284,1,8555.92486
-0.096398,1,8569.144085
-0.20163,1,8582.844769
-0.114129,1,8598.345706
-0.189295,1,8617.883493
-0.115159,1,8634.481115
-0.176199,1,8649.412668
-0.128737,1,8661.487437
-0.182358,1,8675.150925
